2024-06-03
93
34
225
3
20
10
15
0 1 2
1 3 3
2 6 57
3 6 57
4 1 58
5 1 58
6 1 58
7 3 14
8 3 14
9 2 15
10 6 54
11 6 54
12 6 6
13 6 6
14 6 6
15 6 6
16 3 24
17 3 24
18 3 24
19 3 24
20 3 24
21 3 24
22 3 24
23 3 24
24 3 24
25 3 24
26 3 24
27 3 24
28 3 24
29 3 24
30 3 24
31 3 24
32 3 24
33 3 24
34 3 24
35 3 24
36 3 24
37 3 24
38 3 24
39 3 24
40 3 24
41 3 24
42 3 24
43 2 51
44 2 51
45 4 53
46 4 53
47 2 32
48 2 33
49 2 33
50 2 33
51 2 33
52 2 33
53 2 33
54 2 33
55 2 33
56 2 33
57 2 33
58 2 33
59 2 33
60 2 33
61 2 33
62 2 33
63 1 33
64 1 36
65 2 37
66 2 37
67 2 37
68 2 37
69 2 37
70 2 37
71 2 37
72 2 37
73 2 37
74 1 39
75 1 39
76 1 11
77 2 7
78 2 7
79 1 8
80 1 8
81 1 40
82 1 17
83 1 59
84 1 59
85 1 59
86 1 59
87 1 59
88 1 59
89 1 49
90 1 49
91 1 49
92 1 49
0 0 2024-09-13 30076 8 240329-003
0 50 0 9 6 83901-7
0 
65 66 67 68 69 70 71 72 73 
1 77 0 2 62 0 6 82 0 8 89 0 12 121 0 24 64 0 
1 26 0 9 6 83901-12
1 0 
65 66 67 68 69 70 71 72 73 
1 40 0 2 32 0 6 42 0 8 46 0 12 62 0 24 33 0 
2 32 0 15 6 83901-13
1 1 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 50 0 2 40 0 6 53 0 8 57 0 12 77 0 24 41 0 
3 76 0 27 5 83901-14
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 72 0 4 116 0 7 121 0 24 97 0 30 83 0 
4 79 1 27 5 83901-15
1 3 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 74 0 4 120 0 7 126 0 24 101 0 30 86 0 
5 35 1 2 3 83901-16
1 4 
45 46 
1 54 0 24 45 0 31 35 0 
6 39 1 2 3 83901-17
1 5 
45 46 
1 61 0 24 50 0 31 39 0 
7 27 0 27 14 83901-18
1 6 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 26 0 1 42 0 2 34 0 4 42 0 6 45 0 7 44 0 8 48 0 14 66 0 21 38 0 23 41 0 24 35 0 25 54 0 30 30 0 31 27 0 
1 0 2024-09-13 30076 10 240329-003
0 26 1 27 5 83901-9
0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 24 0 4 39 0 7 41 0 24 33 0 30 28 0 
1 40 2 27 5 83901-10
1 0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 38 0 4 61 0 7 64 0 24 51 0 30 44 0 
2 29 1 27 5 83901-11
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 27 0 4 44 0 7 46 0 24 37 0 30 32 0 
3 25 0 9 6 83901-12
1 2 
65 66 67 68 69 70 71 72 73 
1 38 0 2 31 0 6 41 0 8 44 0 12 60 0 24 32 0 
4 31 0 15 6 83901-13
1 3 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 48 0 2 38 0 6 51 0 8 54 0 12 74 0 24 40 0 
5 73 0 27 5 83901-14
1 4 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 69 0 4 111 0 7 116 0 24 93 0 30 80 0 
6 76 1 27 5 83901-15
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 71 0 4 115 0 7 121 0 24 97 0 30 83 0 
7 34 1 2 3 83901-16
1 6 
45 46 
1 52 0 24 43 0 31 34 0 
8 38 1 2 3 83901-17
1 7 
45 46 
1 58 0 24 48 0 31 38 0 
9 26 0 27 14 83901-18
1 8 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 25 0 1 40 0 2 32 0 4 40 0 6 43 0 7 42 0 8 46 0 14 64 0 21 37 0 23 40 0 24 34 0 25 52 0 30 29 0 31 26 0 
2 0 2024-09-13 30076 7 240329-003
0 25 0 9 6 83901-12
0 
65 66 67 68 69 70 71 72 73 
1 38 0 2 31 0 6 41 0 8 44 0 12 60 0 24 32 0 
1 31 0 15 6 83901-13
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 48 0 2 38 0 6 51 0 8 54 0 12 74 0 24 40 0 
2 73 0 27 5 83901-14
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 69 0 4 111 0 7 116 0 24 93 0 30 80 0 
3 76 1 27 5 83901-15
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 71 0 4 115 0 7 121 0 24 97 0 30 83 0 
4 34 1 2 3 83901-16
1 3 
45 46 
1 52 0 24 43 0 31 34 0 
5 38 1 2 3 83901-17
1 4 
45 46 
1 58 0 24 48 0 31 38 0 
6 26 0 27 14 83901-18
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 25 0 1 40 0 2 32 0 4 40 0 6 43 0 7 42 0 8 46 0 14 64 0 21 37 0 23 40 0 24 34 0 25 52 0 30 29 0 31 26 0 
3 0 2024-09-13 30076 7 240329-003
0 26 0 9 6 83901-12
0 
65 66 67 68 69 70 71 72 73 
1 40 0 2 32 0 6 42 0 8 46 0 12 62 0 24 33 0 
1 32 0 15 6 83901-13
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 50 0 2 40 0 6 53 0 8 57 0 12 77 0 24 41 0 
2 76 0 27 5 83901-14
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 72 0 4 116 0 7 121 0 24 97 0 30 83 0 
3 79 1 27 5 83901-15
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 74 0 4 120 0 7 126 0 24 101 0 30 86 0 
4 35 1 2 3 83901-16
1 3 
45 46 
1 54 0 24 45 0 31 35 0 
5 39 1 2 3 83901-17
1 4 
45 46 
1 61 0 24 50 0 31 39 0 
6 27 0 27 14 83901-18
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 26 0 1 42 0 2 34 0 4 42 0 6 45 0 7 44 0 8 48 0 14 66 0 21 38 0 23 41 0 24 35 0 25 54 0 30 30 0 31 27 0 
4 0 2024-09-13 30076 7 240329-003
0 26 0 9 6 83901-12
0 
65 66 67 68 69 70 71 72 73 
1 40 0 2 32 0 6 42 0 8 46 0 12 62 0 24 33 0 
1 32 0 15 6 83901-13
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 50 0 2 40 0 6 53 0 8 57 0 12 77 0 24 41 0 
2 76 0 27 5 83901-14
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 72 0 4 116 0 7 121 0 24 97 0 30 83 0 
3 79 1 27 5 83901-15
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 74 0 4 120 0 7 126 0 24 101 0 30 86 0 
4 35 1 2 3 83901-16
1 3 
45 46 
1 54 0 24 45 0 31 35 0 
5 39 1 2 3 83901-17
1 4 
45 46 
1 61 0 24 50 0 31 39 0 
6 27 0 27 14 83901-18
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 26 0 1 42 0 2 34 0 4 42 0 6 45 0 7 44 0 8 48 0 14 66 0 21 38 0 23 41 0 24 35 0 25 54 0 30 30 0 31 27 0 
5 0 2024-09-13 30076 5 240329-003
0 76 0 27 5 83901-14
0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 72 0 4 116 0 7 121 0 24 97 0 30 83 0 
1 79 1 27 5 83901-15
1 0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 74 0 4 120 0 7 126 0 24 101 0 30 86 0 
2 35 1 2 3 83901-16
1 1 
45 46 
1 54 0 24 45 0 31 35 0 
3 39 1 2 3 83901-17
1 2 
45 46 
1 61 0 24 50 0 31 39 0 
4 27 0 27 14 83901-18
1 3 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 26 0 1 42 0 2 34 0 4 42 0 6 45 0 7 44 0 8 48 0 14 66 0 21 38 0 23 41 0 24 35 0 25 54 0 30 30 0 31 27 0 
6 0 2024-09-13 30076 7 240329-003
0 26 0 9 6 83901-12
0 
65 66 67 68 69 70 71 72 73 
1 40 0 2 32 0 6 42 0 8 46 0 12 62 0 24 33 0 
1 32 0 15 6 83901-13
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 50 0 2 40 0 6 53 0 8 57 0 12 77 0 24 41 0 
2 76 0 27 5 83901-14
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 72 0 4 116 0 7 121 0 24 97 0 30 83 0 
3 79 1 27 5 83901-15
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 74 0 4 120 0 7 126 0 24 101 0 30 86 0 
4 35 1 2 3 83901-16
1 3 
45 46 
1 54 0 24 45 0 31 35 0 
5 39 1 2 3 83901-17
1 4 
45 46 
1 61 0 24 50 0 31 39 0 
6 27 0 27 14 83901-18
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 26 0 1 42 0 2 34 0 4 42 0 6 45 0 7 44 0 8 48 0 14 66 0 21 38 0 23 41 0 24 35 0 25 54 0 30 30 0 31 27 0 
7 0 2024-09-13 30076 7 240329-003
0 25 0 9 6 83901-12
0 
65 66 67 68 69 70 71 72 73 
1 38 0 2 31 0 6 41 0 8 44 0 12 60 0 24 32 0 
1 31 0 15 6 83901-13
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 48 0 2 38 0 6 51 0 8 54 0 12 74 0 24 40 0 
2 73 0 27 5 83901-14
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 69 0 4 111 0 7 116 0 24 93 0 30 80 0 
3 76 1 27 5 83901-15
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 71 0 4 115 0 7 121 0 24 97 0 30 83 0 
4 34 1 2 3 83901-16
1 3 
45 46 
1 52 0 24 43 0 31 34 0 
5 38 1 2 3 83901-17
1 4 
45 46 
1 58 0 24 48 0 31 38 0 
6 26 0 27 14 83901-18
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 25 0 1 40 0 2 32 0 4 40 0 6 43 0 7 42 0 8 46 0 14 64 0 21 37 0 23 40 0 24 34 0 25 52 0 30 29 0 31 26 0 
8 0 2024-09-13 30076 5 240329-003
0 76 0 27 5 83901-14
0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 72 0 4 116 0 7 121 0 24 97 0 30 83 0 
1 79 1 27 5 83901-15
1 0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 74 0 4 120 0 7 126 0 24 101 0 30 86 0 
2 35 1 2 3 83901-16
1 1 
45 46 
1 54 0 24 45 0 31 35 0 
3 39 1 2 3 83901-17
1 2 
45 46 
1 61 0 24 50 0 31 39 0 
4 27 0 27 14 83901-18
1 3 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 26 0 1 42 0 2 34 0 4 42 0 6 45 0 7 44 0 8 48 0 14 66 0 21 38 0 23 41 0 24 35 0 25 54 0 30 30 0 31 27 0 
9 0 2024-09-13 30076 5 240329-003
0 76 0 27 5 83901-14
0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 72 0 4 116 0 7 121 0 24 97 0 30 83 0 
1 79 1 27 5 83901-15
1 0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 74 0 4 120 0 7 126 0 24 101 0 30 86 0 
2 35 1 2 3 83901-16
1 1 
45 46 
1 54 0 24 45 0 31 35 0 
3 39 1 2 3 83901-17
1 2 
45 46 
1 61 0 24 50 0 31 39 0 
4 27 0 27 14 83901-18
1 3 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 26 0 1 42 0 2 34 0 4 42 0 6 45 0 7 44 0 8 48 0 14 66 0 21 38 0 23 41 0 24 35 0 25 54 0 30 30 0 31 27 0 
10 0 2024-09-13 30076 7 240329-003
0 32 0 9 6 83901-7
0 
65 66 67 68 69 70 71 72 73 
1 49 0 2 39 0 6 52 0 8 56 0 12 77 0 24 41 0 
1 21 0 15 6 83901-13
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 32 0 2 25 0 6 34 0 8 36 0 12 49 0 24 26 0 
2 48 0 27 5 83901-14
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 45 0 4 73 0 7 77 0 24 61 0 30 53 0 
3 50 1 27 5 83901-15
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 47 0 4 76 0 7 80 0 24 64 0 30 55 0 
4 22 1 2 3 83901-16
1 3 
45 46 
1 34 0 24 29 0 31 23 0 
5 25 1 2 3 83901-17
1 4 
45 46 
1 39 0 24 32 0 31 25 0 
6 18 0 27 14 83901-18
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 17 0 1 27 0 2 22 0 4 27 0 6 29 0 7 28 0 8 31 0 14 43 0 21 24 0 23 27 0 24 23 0 25 35 0 30 19 0 31 18 0 
11 1 2024-09-13 30076 12 240404-001
0 68 0 9 6 83901-7
0 
65 66 67 68 69 70 71 72 73 
1 106 0 2 85 0 6 112 0 8 121 0 12 165 0 24 88 0 
1 39 0 27 5 83901-8
1 0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 37 0 4 59 0 7 62 0 24 50 0 30 42 0 
2 36 1 27 5 83901-9
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 34 0 4 55 0 7 58 0 24 46 0 30 40 0 
3 57 2 27 5 83901-10
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 53 0 4 86 0 7 90 0 24 72 0 30 62 0 
4 41 1 27 5 83901-11
1 3 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 38 0 4 62 0 7 65 0 24 52 0 30 45 0 
5 35 0 9 6 83901-12
1 4 
65 66 67 68 69 70 71 72 73 
1 54 0 2 43 0 6 58 0 8 62 0 12 84 0 24 45 0 
6 44 0 15 6 83901-13
1 5 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 67 0 2 54 0 6 72 0 8 77 0 12 105 0 24 56 0 
7 104 0 27 5 83901-14
1 6 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 98 0 4 158 0 7 166 0 24 133 0 30 114 0 
8 108 1 27 5 83901-15
1 7 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 102 0 4 165 0 7 173 0 24 139 0 30 118 0 
9 48 1 2 3 83901-16
1 8 
45 46 
1 73 0 24 61 0 31 48 0 
10 54 1 2 3 83901-17
1 9 
45 46 
1 83 0 24 69 0 31 54 0 
11 37 0 27 14 83901-18
1 10 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 35 0 1 57 0 2 46 0 4 56 0 6 61 0 7 59 0 8 65 0 14 90 0 21 52 0 23 56 0 24 48 0 25 74 0 30 41 0 31 37 0 
12 1 2024-09-13 30076 12 240404-001
0 68 0 9 6 83901-7
0 
65 66 67 68 69 70 71 72 73 
1 106 0 2 85 0 6 112 0 8 121 0 12 165 0 24 88 0 
1 39 0 27 5 83901-8
1 0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 37 0 4 59 0 7 62 0 24 50 0 30 42 0 
2 36 1 27 5 83901-9
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 34 0 4 55 0 7 58 0 24 46 0 30 40 0 
3 57 2 27 5 83901-10
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 53 0 4 86 0 7 90 0 24 72 0 30 62 0 
4 41 1 27 5 83901-11
1 3 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 38 0 4 62 0 7 65 0 24 52 0 30 45 0 
5 35 0 9 6 83901-12
1 4 
65 66 67 68 69 70 71 72 73 
1 54 0 2 43 0 6 58 0 8 62 0 12 84 0 24 45 0 
6 44 0 15 6 83901-13
1 5 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 67 0 2 54 0 6 72 0 8 77 0 12 105 0 24 56 0 
7 104 0 27 5 83901-14
1 6 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 98 0 4 158 0 7 166 0 24 133 0 30 114 0 
8 108 1 27 5 83901-15
1 7 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 102 0 4 165 0 7 173 0 24 139 0 30 118 0 
9 48 1 2 3 83901-16
1 8 
45 46 
1 73 0 24 61 0 31 48 0 
10 54 1 2 3 83901-17
1 9 
45 46 
1 83 0 24 69 0 31 54 0 
11 37 0 27 14 83901-18
1 10 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 35 0 1 57 0 2 46 0 4 56 0 6 61 0 7 59 0 8 65 0 14 90 0 21 52 0 23 56 0 24 48 0 25 74 0 30 41 0 31 37 0 
13 1 2024-09-13 30076 16 240422-009
0 48 0 27 9 83901-2
0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 46 0 1 75 0 2 60 0 4 74 0 7 77 0 23 73 0 24 62 0 25 96 0 30 53 0 
1 10 1 15 10 83901-3
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
0 10 0 1 16 0 2 13 0 4 15 0 6 17 0 7 16 0 8 18 0 11 29 0 12 24 0 24 13 0 
2 26 0 27 9 83901-4
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 24 0 1 39 0 2 32 0 4 39 0 7 41 0 23 39 0 24 33 0 25 51 0 30 28 0 
3 56 0 27 9 83901-5
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 53 0 1 87 0 2 70 0 4 86 0 7 90 0 23 85 0 24 72 0 25 112 0 30 62 0 
4 73 0 9 6 83901-7
1 3 
65 66 67 68 69 70 71 72 73 
1 112 0 2 90 0 6 119 0 8 128 0 12 175 0 24 93 0 
5 41 0 27 5 83901-8
1 4 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 39 0 4 62 0 7 65 0 24 53 0 30 45 0 
6 38 1 27 5 83901-9
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 36 0 4 58 0 7 61 0 24 49 0 30 42 0 
7 60 2 27 5 83901-10
1 6 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 56 0 4 91 0 7 96 0 24 77 0 30 66 0 
8 43 1 27 5 83901-11
1 7 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 41 0 4 66 0 7 69 0 24 55 0 30 47 0 
9 37 0 9 6 83901-12
1 8 
65 66 67 68 69 70 71 72 73 
1 57 0 2 46 0 6 61 0 8 65 0 12 89 0 24 48 0 
10 46 0 15 6 83901-13
1 9 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 71 0 2 57 0 6 76 0 8 82 0 12 111 0 24 59 0 
11 110 0 27 5 83901-14
1 10 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 104 0 4 168 0 7 176 0 24 141 0 30 120 0 
12 115 1 27 5 83901-15
1 11 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 108 0 4 174 0 7 183 0 24 147 0 30 125 0 
13 50 1 2 3 83901-16
1 12 
45 46 
1 78 0 24 65 0 31 51 0 
14 57 1 2 3 83901-17
1 13 
45 46 
1 87 0 24 73 0 31 57 0 
15 39 0 27 14 83901-18
1 14 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 37 0 1 60 0 2 48 0 4 60 0 6 64 0 7 63 0 8 69 0 14 95 0 21 55 0 23 59 0 24 50 0 25 78 0 30 43 0 31 39 0 
14 1 2024-09-13 30076 15 240422-009
0 10 1 15 10 83901-3
0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
0 10 0 1 16 0 2 13 0 4 15 0 6 17 0 7 16 0 8 18 0 11 29 0 12 24 0 24 13 0 
1 26 0 27 9 83901-4
1 0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 24 0 1 39 0 2 32 0 4 39 0 7 41 0 23 39 0 24 33 0 25 51 0 30 28 0 
2 56 0 27 9 83901-5
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 53 0 1 87 0 2 70 0 4 86 0 7 90 0 23 85 0 24 72 0 25 112 0 30 62 0 
3 73 0 9 6 83901-7
1 2 
65 66 67 68 69 70 71 72 73 
1 112 0 2 90 0 6 119 0 8 128 0 12 175 0 24 93 0 
4 41 0 27 5 83901-8
1 3 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 39 0 4 62 0 7 65 0 24 53 0 30 45 0 
5 38 1 27 5 83901-9
1 4 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 36 0 4 58 0 7 61 0 24 49 0 30 42 0 
6 60 2 27 5 83901-10
1 5 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 56 0 4 91 0 7 96 0 24 77 0 30 66 0 
7 43 1 27 5 83901-11
1 6 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 41 0 4 66 0 7 69 0 24 55 0 30 47 0 
8 37 0 9 6 83901-12
1 7 
65 66 67 68 69 70 71 72 73 
1 57 0 2 46 0 6 61 0 8 65 0 12 89 0 24 48 0 
9 46 0 15 6 83901-13
1 8 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
1 71 0 2 57 0 6 76 0 8 82 0 12 111 0 24 59 0 
10 110 0 27 5 83901-14
1 9 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 104 0 4 168 0 7 176 0 24 141 0 30 120 0 
11 115 1 27 5 83901-15
1 10 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 108 0 4 174 0 7 183 0 24 147 0 30 125 0 
12 50 1 2 3 83901-16
1 11 
45 46 
1 78 0 24 65 0 31 51 0 
13 57 1 2 3 83901-17
1 12 
45 46 
1 87 0 24 73 0 31 57 0 
14 39 0 27 14 83901-18
1 13 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 37 0 1 60 0 2 48 0 4 60 0 6 64 0 7 63 0 8 69 0 14 95 0 21 55 0 23 59 0 24 50 0 25 78 0 30 43 0 31 39 0 
15 1 2024-09-13 30076 16 240422-009
0 48 0 27 9 83901-2
0 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 46 0 1 75 0 2 60 0 4 74 0 7 77 0 23 73 0 24 62 0 25 96 0 30 53 0 
1 10 1 15 10 83901-3
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
0 10 0 1 16 0 2 13 0 4 15 0 6 17 0 7 16 0 8 18 0 11 29 0 12 24 0 24 13 0 
2 26 0 27 9 83901-4
1 1 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 24 0 1 39 0 2 32 0 4 39 0 7 41 0 23 39 0 24 33 0 25 51 0 30 28 0 
3 56 0 27 9 83901-5
1 2 
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
0 53 0 1 87 0 2 70 0 4 86 0 7 90 0 23 85 0 24 72 0 25 112 0 30 62 0 
4 73 0 9 6 83901-7
1 3 
